file,symbol,tables/RPC,cursor source,timestamp field,pagination behavior,aggregate mapping,legacy participant,V2 replacement status,evidence
data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pullBudgets,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#L71
data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pullCostAllocations,see source evidence,FULL_SNAPSHOT_OR_NO_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#L144
data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pullCashReconciliations,see source evidence,FULL_SNAPSHOT_OR_NO_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#L234
data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pullCashDenominations,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#L301
data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pullCashRegister,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#L372
data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pullCashMovements,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#L395
data/network/src/main/kotlin/com/verto/app/data/sync/SyncClientCredits.kt,pullClientCredits,see source evidence,FULL_SNAPSHOT_OR_NO_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClientCredits.kt#L47
data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt,pullClients,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt#L155
data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt,pullFinancialInbox,see source evidence,SERVER_RPC_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt#L149
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pullInventoryItems,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt#L75
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pullInventoryUnits,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt#L229
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pullItemCategories,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt#L285
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pullCategories,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt#L351
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt,pullInventoryMovements,see source evidence,SERVER_RPC_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt#L118
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt,pullInventoryCostRevisions,see source evidence,SERVER_RPC_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt#L152
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceHeaders.kt,pullInvoices,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceHeaders.kt#L87
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceLines.kt,pullInvoiceItems,see source evidence,FULL_SNAPSHOT_OR_NO_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceLines.kt#L107
data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoicePayments.kt,pullPayments,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoicePayments.kt#L102
data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pullExpenses,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt#L69
data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pullNotes,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt#L128
data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pullReminders,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt#L181
data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pullPriceList,see source evidence,FULL_SNAPSHOT_OR_NO_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt#L281
data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pullCommissions,see source evidence,LEGACY_TIMESTAMP,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt#L327
data/network/src/main/kotlin/com/verto/app/data/sync/SyncNotifications.kt,pullNotifications,see source evidence,FULL_SNAPSHOT_OR_NO_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncNotifications.kt#L11
data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pullPurchaseCyclePreInvoices,see source evidence,FULL_SNAPSHOT_OR_NO_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt#L87
data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pullPurchaseCyclePostInvoices,see source evidence,FULL_SNAPSHOT_OR_NO_CURSOR,updated_at/created_at/domain timestamp when legacy filter exists,NO_GENERAL_BOUNDED_PAGINATION_PROOF,see v304 aggregate coverage,YES,LEGACY_FALLBACK_PRESERVED_SESSION_308,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt#L111
